id,neg,neu,pos,compound,polarity,subjectivity,flair_sentiment,Happy,Angry,Surprise,Sad,Fear
821,0.148,0.767,0.085,-0.9947,0.5715686274509804,0.5666666666666667,0.9999411106109619,0.16,0.03,0.18,0.42,0.21
507,0.133,0.641,0.227,0.9702,0.7088541666666667,0.7083333333333334,0.9986544847488403,0.2,0.11,0.03,0.6,0.06
162,0.088,0.686,0.226,0.9977,0.6407993197278912,0.5240476190476191,0.9997666478157043,0.22,0.04,0.18,0.19,0.36
202,0.082,0.833,0.085,-0.1561,0.5438888888888889,0.39555555555555555,0.8877222537994385,0.08,0.08,0.25,0.29,0.29
204,0.204,0.719,0.077,-0.9867,0.5565934065934066,0.5901098901098901,0.9993302822113037,0.09,0.09,0.16,0.31,0.34
857,0.089,0.793,0.118,0.9677,0.4757885356765954,0.32546143740173616,0.0003215372562408447,0.06,0.15,0.33,0.26,0.21
627,0.05,0.804,0.147,0.9782,0.5797222222222222,0.3322222222222222,0.9718733727931976,0.06,0.23,0.25,0.17,0.29
61,0.092,0.796,0.112,0.7156,0.5222474747474748,0.321010101010101,0.24588927626609802,0.03,0.12,0.22,0.41,0.22
136,0.156,0.759,0.085,-0.9858,0.5191071428571429,0.49071428571428566,0.20681199431419373,0.09,0.21,0.16,0.4,0.14
812,0.006,0.994,0.0,-0.3182,0.5239795918367347,0.24438775510204083,0.0056115686893463135,0.0,0.09,0.22,0.17,0.52
646,0.104,0.757,0.14,0.6908,0.5318888888888889,0.41155555555555556,0.9930824041366577,0.2,0.13,0.33,0.09,0.26
548,0.108,0.696,0.196,0.9976,0.6541666666666667,0.5999999999999998,0.9222061038017273,0.21,0.01,0.21,0.37,0.2
54,0.023,0.795,0.183,0.9964,0.6094671201814059,0.48778344671201823,0.9995898902416229,0.12,0.0,0.16,0.47,0.26
425,0.0,1.0,0.0,0.0,0.5,0.0,0.9901891648769379,0,0,0,0,0
291,0.0,1.0,0.0,0.0,0.5,0.0,0.9178881049156189,0,0,0,0,0
211,0.083,0.677,0.24,0.9983,0.626328903654485,0.8399317091177557,0.005030184984207153,0.29,0.02,0.16,0.33,0.2
260,0.14,0.701,0.16,0.4388,0.4744631185807656,0.5432306255835668,0.8245125412940979,0.03,0.13,0.35,0.35,0.13
279,0.11,0.793,0.098,-0.9033,0.516829241664768,0.45866180603022705,0.00011935830116271973,0.12,0.09,0.33,0.16,0.3
